SMILES,Validity,SA Score
CCCCCCCCC(CC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC1C(NC)C(=O)C1=O,True,4.342831871255604
CCCCCCCCCOC(=O)CCCCCCCCCN(CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.910999799978873
CCCCCCCCCOC(=O)CCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8265964557968264
CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,True,2.8458544419489886
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCC(=O)OCCCCCCC)CCO,True,2.7682939191555835
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCN(CCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCO,True,3.559286372989554
CCCCCCCCCCCC(CNCCOCCOCCN(CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)O,True,3.8088695019327545
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCC(=O)OCCCCCCC)CCO,True,2.779298261735647
CCCCCC/C=C\COC(=O)CCCCCCCN(CCCCCCCC(=O)OC/C=C\CCCCCC)C(=O)CSCCN(C)C,True,3.185989606493737
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCN(CCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCO,True,3.634593264147459
CCCCCCCCCCC(CN(CCN1CCN(CC1)CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)O,True,4.670372683665047
CCCCCCCCCOC(=O)CCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8265964557968264
CC(C)CCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCC(C)C)CCC(=O)OCCCCCCCC(C)C)CCC(=O)OCCCCCCCC(C)C,True,3.3287178074101256
CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8701787982197278
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCC(=O)OCCCCCCC)CCCO,True,2.801082119831781
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCC(=O)OCCCCCCC)CCCO,True,2.813463069417695
CCCCCCCCCCCOC(=O)CCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.86123437121816
CCCCCCCCC(CCCCCC)C(=O)OCCOCCN(CCO)CCOCCOC(=O)C(CCCCCC)CCCCCCCC,True,3.622881330591042
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCCCC(=O)OCCCCCCC)CCCO,True,2.813463069417695
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8311227953170377
CCCCCCCCCOC(=O)CCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.817068696599504
CCCCCCCCC(CCCCCC)C(=O)OCCOCCNCCOCCOC(=O)C(CCCCCC)CCCCCCCC,True,3.4147956904639987
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCC(=O)OCCCCCCC)CCO,True,2.8037235822382094
CCCCCCCCCCCOC(=O)CCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8311227953170377
CCCCCCCCCCCOC(=O)CCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.817068696599504
CCCCC/C=C\C/C=C\CCCCCCCCOC1(OCCCCCCCC/C=C\C/C=C\CCCCC)CCN(C)CC1,True,3.2266319798569905
COC(=O)CCCCCCC/C=C\CCCCCCCCC(CCCCCCCC/C=C\CCCCCCCC(=O)OC)OC(=O)CCCN(C)C,True,2.9744677214776196
CCCCCCCCCCCC(CN(CCOCCOCCN(CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)O,True,4.091531028205231
